name,sellingDate,size,resellPrice
"Monday, October 16, 2017",$540,adidas Yeezy Boost 350 V2 Zebra,9
"Monday, October 16, 2017",$620,adidas Yeezy Boost 350 V2 Zebra,12
"Monday, October 16, 2017",$575,adidas Yeezy Boost 350 V2 Zebra,10
"Monday, October 16, 2017",$592,adidas Yeezy Boost 350 V2 Zebra,11
"Monday, October 16, 2017",$593,adidas Yeezy Boost 350 V2 Zebra,11
"Monday, October 16, 2017",$590,adidas Yeezy Boost 350 V2 Zebra,11
"Monday, October 16, 2017",$580,adidas Yeezy Boost 350 V2 Zebra,9.5
"Monday, October 16, 2017",$584,adidas Yeezy Boost 350 V2 Zebra,9.5
"Monday, October 16, 2017",$579,adidas Yeezy Boost 350 V2 Zebra,10
"Monday, October 16, 2017",$570,adidas Yeezy Boost 350 V2 Zebra,9
"Monday, October 16, 2017",$570,adidas Yeezy Boost 350 V2 Zebra,9
"Monday, October 16, 2017",$701,adidas Yeezy Boost 350 V2 Zebra,5
"Monday, October 16, 2017",$550,adidas Yeezy Boost 350 V2 Zebra,9
"Monday, October 16, 2017",$670,adidas Yeezy Boost 350 V2 Zebra,12
"Monday, October 16, 2017",$765,adidas Yeezy Boost 350 V2 Zebra,12.5
"Monday, October 16, 2017",$525,adidas Yeezy Boost 350 V2 Zebra,8
"Monday, October 16, 2017",$620,adidas Yeezy Boost 350 V2 Zebra,11
"Monday, October 16, 2017",$610,adidas Yeezy Boost 350 V2 Zebra,11
"Monday, October 16, 2017",$615,adidas Yeezy Boost 350 V2 Zebra,10
"Monday, October 16, 2017",$599,adidas Yeezy Boost 350 V2 Zebra,9
"Monday, October 16, 2017",$635,adidas Yeezy Boost 350 V2 Zebra,10
"Monday, October 16, 2017",$595,adidas Yeezy Boost 350 V2 Zebra,8.5
"Monday, October 16, 2017",$630,adidas Yeezy Boost 350 V2 Zebra,10
"Monday, October 16, 2017",$647,adidas Yeezy Boost 350 V2 Zebra,11
"Monday, October 16, 2017",$607,adidas Yeezy Boost 350 V2 Zebra,10
"Monday, October 16, 2017",$559,adidas Yeezy Boost 350 V2 Zebra,7.5
"Monday, October 16, 2017",$728,adidas Yeezy Boost 350 V2 Zebra,12.5
"Monday, October 16, 2017",$560,adidas Yeezy Boost 350 V2 Zebra,8.5
"Monday, October 16, 2017",$571,adidas Yeezy Boost 350 V2 Zebra,9.5
"Monday, October 16, 2017",$560,adidas Yeezy Boost 350 V2 Zebra,7.5
"Monday, October 16, 2017",$597,adidas Yeezy Boost 350 V2 Zebra,14
"Monday, October 16, 2017",$629,adidas Yeezy Boost 350 V2 Zebra,13
"Monday, October 16, 2017",$719,adidas Yeezy Boost 350 V2 Zebra,6
