"","name","size","resellPrice","sellDate","day","date","sellMonth"
"89","adidas Yeezy Boost 350 V2 Zebra",13,650,2017-10-17,"Tuesday"," October 17, 2017","Oct 2017"
"90","adidas Yeezy Boost 350 V2 Zebra",10.5,599,2017-10-17,"Tuesday"," October 17, 2017","Oct 2017"
"91","adidas Yeezy Boost 350 V2 Zebra",9.5,598,2017-10-17,"Tuesday"," October 17, 2017","Oct 2017"
"92","adidas Yeezy Boost 350 V2 Zebra",11,570,2017-10-17,"Tuesday"," October 17, 2017","Oct 2017"
"93","adidas Yeezy Boost 350 V2 Zebra",13,630,2017-10-17,"Tuesday"," October 17, 2017","Oct 2017"
"94","adidas Yeezy Boost 350 V2 Zebra",10.5,605,2017-10-17,"Tuesday"," October 17, 2017","Oct 2017"
"95","adidas Yeezy Boost 350 V2 Zebra",9,580,2017-10-17,"Tuesday"," October 17, 2017","Oct 2017"
"96","adidas Yeezy Boost 350 V2 Zebra",11,661,2017-10-17,"Tuesday"," October 17, 2017","Oct 2017"
"97","adidas Yeezy Boost 350 V2 Zebra",12,625,2017-10-17,"Tuesday"," October 17, 2017","Oct 2017"
"98","adidas Yeezy Boost 350 V2 Zebra",12,605,2017-10-17,"Tuesday"," October 17, 2017","Oct 2017"
"99","adidas Yeezy Boost 350 V2 Zebra",11,677,2017-10-17,"Tuesday"," October 17, 2017","Oct 2017"
"100","adidas Yeezy Boost 350 V2 Zebra",12,660,2017-10-17,"Tuesday"," October 17, 2017","Oct 2017"
"101","adidas Yeezy Boost 350 V2 Zebra",10.5,635,2017-10-17,"Tuesday"," October 17, 2017","Oct 2017"
"102","adidas Yeezy Boost 350 V2 Zebra",5,705,2017-10-17,"Tuesday"," October 17, 2017","Oct 2017"
"103","adidas Yeezy Boost 350 V2 Zebra",11,646,2017-10-17,"Tuesday"," October 17, 2017","Oct 2017"
"104","adidas Yeezy Boost 350 V2 Zebra",10,580,2017-10-17,"Tuesday"," October 17, 2017","Oct 2017"
