"","name","size","resellPrice","sellDate","day","date","sellMonth","model","color","retailPrice","releaseDate","releaseMonth","resellPercentage"
"59","adidas Yeezy Boost 350 V2 Zebra",10.5,599,2017-10-17,"Tuesday"," October 17, 2017","Oct 2017","350 V2","multicolor",220,2017-02-25,"Feb 2017",1.72272727272727
"60","adidas Yeezy Boost 350 V2 Zebra",10,590,2017-10-17,"Tuesday"," October 17, 2017","Oct 2017","350 V2","multicolor",220,2017-02-25,"Feb 2017",1.68181818181818
"61","adidas Yeezy Boost 350 V2 Zebra",8,524,2017-10-17,"Tuesday"," October 17, 2017","Oct 2017","350 V2","multicolor",220,2017-02-25,"Feb 2017",1.38181818181818
"62","adidas Yeezy Boost 350 V2 Zebra",11,600,2017-10-17,"Tuesday"," October 17, 2017","Oct 2017","350 V2","multicolor",220,2017-02-25,"Feb 2017",1.72727272727273
"63","adidas Yeezy Boost 350 V2 Zebra",11,600,2017-10-17,"Tuesday"," October 17, 2017","Oct 2017","350 V2","multicolor",220,2017-02-25,"Feb 2017",1.72727272727273
"64","adidas Yeezy Boost 350 V2 Zebra",8,535,2017-10-17,"Tuesday"," October 17, 2017","Oct 2017","350 V2","multicolor",220,2017-02-25,"Feb 2017",1.43181818181818
"65","adidas Yeezy Boost 350 V2 Zebra",10.5,585,2017-10-17,"Tuesday"," October 17, 2017","Oct 2017","350 V2","multicolor",220,2017-02-25,"Feb 2017",1.65909090909091
"66","adidas Yeezy Boost 350 V2 Zebra",11,634,2017-10-17,"Tuesday"," October 17, 2017","Oct 2017","350 V2","multicolor",220,2017-02-25,"Feb 2017",1.88181818181818
"67","adidas Yeezy Boost 350 V2 Zebra",8.5,569,2017-10-17,"Tuesday"," October 17, 2017","Oct 2017","350 V2","multicolor",220,2017-02-25,"Feb 2017",1.58636363636364
"68","adidas Yeezy Boost 350 V2 Zebra",12,635,2017-10-17,"Tuesday"," October 17, 2017","Oct 2017","350 V2","multicolor",220,2017-02-25,"Feb 2017",1.88636363636364
